"act","prompt"
"📝 Gerador Conteúdo QUATRO Ps","Use a estrutura de escrita dos QUATRO Ps para convencer o leitor a experimentar ➡️produto⬅️ em ➡️número⬅️ palavras."
"🔒 Gerador .htaccess","gere a regra de reescrita .htaccess para criar um redirecionamento 301 de ➡️local de origem⬅️ para ➡️local de destino⬅️"
"🔍 Gerador Palavras-chave para SEO","Gerar uma lista de palavras-chave relacionadas ao ➡️tópico⬅️."
"❓ Gerador de FAQ v1","Gere um FAQ de ➡️número⬅️ perguntas com base no seguinte conteúdo: ➡️texto⬅️"
"❓ Gerador de FAQ v2","gere uma lista de ➡️número⬅️ perguntas frequentes relacionadas a ➡️tópico⬅️ e forneça respostas concisas para cada uma."
"❓ Gerador de FAQ v3","Eu quero que você atue como um agente de suporte ao cliente muito útil, fala e escreve fluentemente português. Quero que você finja que pode escrever a resposta perfeita, direta e precisa para perguntas e respostas de um texto também em português. Gere uma lista de 5 perguntas frequentes e respetivas respostas especificamente com base no seguinte texto ➡️Adicione seu texto⬅️. Não alucine, não invente fatos aleatórios. prefixe cada pergunta com um Q e um número. Em seguida, escreva uma resposta curta, precisa, precisa e bem específica em português para a pergunta, prefixe essa resposta com A e um número."
"🔒 Gerador Politica de Privacidade","Crie uma Política de Privacidade para meu site que cumpre com
Lei LGPD.

Nome da Empresa: ➡️Ideias ChatGPT⬅️
Domínio do Site: ➡️https://ideiaschatgpt.com.br⬅️
Endereço de E-mail: ➡️ideiaschatgpt@gmail.com⬅️
Utiliza: ➡️Cookies, Adsense⬅️
Língua: ➡️Português⬅️

Escreva o texto abaixo de cada subcabeçalho.

CONTROLADORA DOS DADOS:
Como funciona o tratamento de dados por parte da Empresa.
Com quem compartilhamos os Dados Pessoais?
Com quem compartilhamos os Dados Pessoais?
Política de Cookie
O que são cookies?
Como usamos os cookies?
Desativar cookies.
Cookies que definimos.
Por que utilizamos Cookies?
Quais tipos de cookies são utilizados?
Por quanto tempo guardamos os Dados Pessoais?
Quais são os direitos relacionados aos Dados Pessoais?
Compromisso do Usuário.
Canais de contato.
Mais informações."
"💬 Modelo de Contrato Gestão de redes sociais","Gere um Modelo de Contrato Gestão de redes sociais com a seguinte estrutura:

CLÁUSULA PRIMEIRA: DA PRESTAÇÃO DE SERVIÇOS:
CLÁUSULA SEGUNDA: DAS CONDIÇÕES DA PRESTAÇÃO DOS SERVIÇOS:
CLÁUSULA TERCEIRA: PRAZO:
CLÁUSULA QUINTA: DIREITOS AUTORAIS:
CLÁUSULA SEXTA: VALORES E FORMAS DE PAGAMENTO:
CLÁUSULA SÉTIMA: RESCISÃO DE CONTRATO:
CLÁUSULA SÉTIMA: DISPOSIÇÕES GERAIS:"
"💬 Modelo de Contrato Prestação de Serviços","Gere um Modelo de Contrato Prestação de Serviços de Gestão de Redes Sociais (Social Mídia) com a seguinte estrutura:

1. SERVIÇO
2. DO CRONOGRAMA E VIGÊNCIA
3. DA REMUNERAÇÃO E CONDIÇÕES DE PAGAMENTO
4. DA PUBLICIDADE
5. DAS OBRIGAÇÕES
6. PROTEÇÃO À IMAGEM
7. DAS APROVAÇÕES DE MATERIAL
8. DA RESCISÃO"
"💬 Modelo de Contrato de Gestão de Tráfego","Gere um Modelo de Contrato de Gestão de Tráfego PARA MÍDIA SOCIAL com a seguinte estrutura:

1. Do objeto do contrato
2. Do prazo para a realização do serviço de gestão de tráfego
3. Das obrigações da parte CONTRATADA
4. Das obrigações da parte CONTRATANTE
5. Renovação do Contrato
6. Da Rescisão Contratual
7. Da forma de pagamento
8. Da eleição do foro"
"🤝 Gerador Termos de Uso","Crie termos de uso personalizado para o seu site!

Nome da Empresa: ➡️Ideias ChatGPT⬅️
Domínio do Site: ➡️https://ideiaschatgpt.com.br⬅️
Endereço de E-mail: ➡️ideiaschatgpt@gmail.com⬅️
Utiliza: ➡️Cookies, Adsense⬅️
Língua: ➡️Português⬅️ "
"🌐 Gerador Sitemap","Crie um mapa do site para um site da ➡️seu nicho, marca⬅️ com política de privacidade e páginas de termos de serviço"
"📺 Gerador de VSL","Atuar como especialista em ➡️Descreva seu nicho e produtos/serviços⬅️, que fala e escreve fluentemente em português. Escreva toda a saída em português. Crie uma planilha ( esse formato é necessário ) que mostre 2 alternativas de vídeos dinâmicos, atraentes, originais, criativos e emocionantes para minha publicidade nas mídias sociais para promover o produto que você me deu, cujas informações são as seguintes: Marketing Digital. Os estágios devem fluir suavemente e ser consistentes entre si. A primeira alternativa é uma versão com uma história fortemente marcada. A segunda alternativa é uma versão com um tom de Storyselling fortemente marcado. Não repete em ambas as alternativas. Os estágios de publicidade são as linhas da tabela: Gancho - texto / Gancho - vídeo / Problema - Texto / Problema - Vídeo / Solução - texto / CTA - Texto / CTA - Vídeo / Descrição."
"💬 Gerador de Depoimentos p/ produtos","Crie depoimentos para o meu produto de comércio eletrônico e encontre as melhores informações H1 e Meta. ➡️Digite o nome descritivo do produto⬅️"
"📝 Gerador de Conteúdo Social Mídia - HESEC","Gere uma estrutura de conteúdo de mídia social com
Estrutura HESEC (Humanize, Educate, Solve, Entertain, Convert) para:
Nome da marca: ➡️Sua Marca⬅️
Nicho: ➡️Descreva seu nicho e produtos/serviços⬅️"
"📝 Gerador de Conteúdo Social Mídia - HERO","Gere uma estrutura de conteúdo de mídia social com Estrutura HERO (Human, Emotional, Remarkable, Offer) para:
Nome da marca: ➡️Sua Marca⬅️
Nicho: ➡️Descreva seu nicho e produtos/serviços⬅️"
"📝 Gerador de Conteúdo Social Mídia - PEACE","Gere uma estrutura de conteúdo de mídia social com
PEACE (Plan, Engage, Amplify, Convert, Evaluate) para:
Nome da marca: ➡️Sua Marca⬅️
Nicho: ➡️Descreva seu nicho e produtos/serviços⬅️"
"👥 Gerador de Prova Social","Crie uma postagem no Facebook para uma ➡️empresa/organização⬅️ que demonstre prova social e crie credibilidade entre o ➡️público-alvo]. Use depoimentos, avaliações e avaliações de clientes para mostrar o valor do produto/serviço e gerar confiança. Considere os [fatores ou requisitos relevantes] e os [interesses do público-alvo] ao criar a postagem. Certifique-se de [incluir quaisquer requisitos ou considerações adicionais] e [testar ou revisar] a postagem para garantir que ela atenda aos [padrões ou critérios] necessários."
"🔑 Gerador de senha","Gerar uma senha complexa usando formulários de entrada de tamanho, letras maiúsculas, minúsculas, números e caracteres especiais e fornecê-la para mim; por exemplo, comprimento = {8, letras maiúsculas = 1, letras minúsculas = 5, números = 2, especial = 1} somente gere a senha não dê explicações."
"📝 Descrição para produtos","Crie uma descrição de produto rica e significativa para o produto de comércio eletrônico e encontre as melhores informações H1 e Meta. ➡️Digite o nome descritivo do produto⬅️"
"🍴 Gerador de Receitas","Escreva um artigo de receita usando as sete etapas listadas abaixo para o nome da receita mencionado abaixo. Os sete passos são:
1. Introdução (escreva 200 palavras)
2. Ingredientes (escreva claramente)
3. Instruções (escreva detalhadamente)
4. Como preparar (escrever detalhado)
5. Tempo de preparação (escrever detalhado)
6. FAQs (pesquise e escreva pelo menos 5 perguntas e respostas)
7. Conclusão (escreva 200 palavras)
O comprimento da frase deve ser curto com palavras de transição suficientes. Escreva em português ➡️Nome da receita⬅️. Escreva o título do artigo da receita, deve ser atraente. E escreva uma meta descrição em 156 caracteres."
"✍️ Copywriting","Escreva uma Copy de vendas usando o modelo AIDA sobre
➡️descreva seu produto e depois o nome⬅️"
"✍️ Copywriting","Escreva uma Copy de vendas usando a fórmula PSA sobre
➡️descreva seu produto e depois o nome⬅️
Escreva uma Copy do antes e depois sobre ➡️descreva seu
produto e depois o nome⬅️"
"🌐 Página de vendas","Escreva uma página de vendas sobre os recursos,
vantagens e benefícios ➡️descreva seu produto e depois o nome⬅️"
"🌐 Página de vendas","Escreva uma página de vendas de solução para dor, agitação e sobre ➡️descreva seu produto e depois o nome⬅️ Escreva um problema, promessa, página de prova de vendas sobre ➡️descreva seu produto e depois o nome⬅️"
"📰 Post para Blogs","Você é um escritor de conteúdo experiente em SEO que está a escrever um artigo optimizado de SEO para um cliente. Este cliente está à procura de um artigo de alta qualidade, optimizado em SEO, sobre ➡️Tema da postagem⬅️ que pode ajudar o seu site a melhorar a sua classificação nos motores de busca. Certifique-se de que o artigo é 100% único e escrito em linguagem natural e clara. Utilizar subtítulos e títulos relevantes e ricos em palavras-chave, e certificar-se de que o artigo tem uma estrutura lógica e coerente. Fornece títulos H1, H2, H3 em formato markdown. O seu artigo deve incluir informação relevante e atualizada que os leitores considerem valiosa e útil. Não se esqueça de incorporar as palavras-chave relevantes de uma forma natural, sem sobrecarregar o artigo. No final do artigo, certifique-se de fornecer um resumo conciso e relevante do tópico abordado."
"🔖 Melhorador de Títulos","Torne o título do artigo a seguir mais envolvente e digno de clique: ➡️seu título atual⬅️"
"🔖 Títulos CTA","Escreva 5 exemplos de títulos alternativos com uma taxa de cliques mais alta para ➡️título do artigo atual⬅️."
"📈 Análise empresarial","Fornecer uma análise do modelo de negócio da ➡️Nome da empresa⬅️ utilizando o modelo de negócio de Alexander Osterwalder; uma tabela representando as Cinco Forças de Michael Porter na Cadeia de Valor e uma análise SWOT para a empresa. Além disso, apresentar algumas estatísticas específicas da indústria para essa empresa, tais como estatísticas financeiras, uma estimativa dos custos de arranque e tendências emergentes desde 2000."
"💲 Melhor script para VSL","Sua tarefa é criar um script para um VÍDEO DE VENDAS detalhado para um produto específico voltado a uma persona em um nicho específico. Seu objetivo é ser persuasivo na língua Portuguesa.

Vídeo de vendas para 
PRODUTO: ➡️digite aqui qual é o seu produto⬅️
NICHO: ➡️digite aqui qual é o seu nicho⬅️

Etapa 01: Público-Alvo
O que queremos alcançar (Quem é a persona, Qual é a necessidade dela, Qual é a dor dela, Qual é o objetivo dela)

| answer Respostas para cada ponto de dados com base no [NICHO - PERSONA] específico

Etapa 02: HISTÓRIA DA PERSONA
Um resumo da pessoa e da história
Valor central (O que está em jogo na vida dela?),
Protagonista (Quem conduzirá a história, você ou ela?),
Sociedade (Onde isso está acontecendo?),
Tempo (Quando está acontecendo, ou já aconteceu?)
| answer Respostas para cada ponto de dados na Coluna 1 com base no [NICHO - PERSONA] específico

Etapa 03: PROBLEMA
Resumo do problema específico da [PERSONA] que o produto pode resolver
| answer Resposta com detalhes sobre o problema da [PERSONA] com base no [NICHO - PERSONA] específico

Etapa 4: SOLUÇÃO
Resumo da solução que o produto oferece para o problema da [PERSONA]
| answer Detalhes sobre a solução do produto com base no [NICHO - PERSONA] específico

Etapa 05: BENEFÍCIOS
O que a [PERSONA] ganha com o produto (Benefício 1, Benefício 2, Benefício 3, Benefício 4)
| answer Detalhes sobre cada benefício com base no [NICHO - PERSONA] específico

Etapa 06: PROVA SOCIAL
Resumo das evidências sociais que comprovam a eficácia do produto
| answer Detalhes sobre as evidências sociais com base no [NICHO - PERSONA] específico

Etapa 7: GARANTIA
Resumo da garantia oferecida para o produto
| answer Detalhes sobre a garantia com base no [NICHO - PERSONA] específico

Etapa 08: Preço a ser cobrado
Valor do produto com a comparação de coisas que tenham o preço parecido, aumentando a percepção desse valor
| answer Detalhes sobre o valor com base no [NICHO - PERSONA] específico

Etapa 09: Call to Action | answer

Certifique-se de que sua resposta esteja estruturada em um formato de carta de vendas sem que apareçam as perguntas. Você criará a PERSONA e usará ela como base para todas as respostas que precisar. Não escreva o que são as etapas, transforme isso na própria resposta. Não utilize a palavra PERSONA em suas respostas."
"👀 Encontre sua audiência ideal - Buyer Persona/Avatar","Você é um pesquisador de marketing Portuguese.

PRODUTO: ➡️digite aqui qual é o seu produto⬅️
NICHO: ➡️digite aqui qual é o seu nicho⬅️

Sua tarefa é gerar uma BUYER PERSONA detalhada para um [PRODUTO] sobre [NICHO].

Estruture sua resposta em 5 tabelas separadas.
Acima da primeira tabela escreva BUYER PERSONA [PRODUTO]
e substitua [NICHO] por [PRODUTO - NICHO].
Aqui está o formato necessário para cada tabela:

Tabela 01: Demográficos
2 colunas e 7 linhas
Coluna 1 = Pontos de dados (Nome, Idade, Ocupação, Renda mensal, Estado civil, Situação familiar, Localização)
Coluna 2 = Respostas para cada ponto de dados na Coluna 1 com base no [NICHO] específico
Tabela 02: Descrição do usuário
Um resumo da persona do usuário revelando as duas Características mais marcantes dela em até 240 caracteres.
Tabela 03: Psicográficos
2 colunas e 9 linhas
Coluna 1 = Pontos de dados (Características pessoais, Oportunidade que mudaria a vida dele, Interesses, Aspirações pessoais, Receio interno que ele guarda para si, Dores, Principais problemas que ele precisa resolver, Necessidades, Sonhos)
Coluna 2 = Respostas para cada ponto de dados na Coluna 1 com base no [NICHO] específico
Tabela 04: Comportamentos de compra
2 colunas e 8 linhas
Coluna 1 = Pontos de dados (Orçamento, Frequência de compras, Canais preferidos, Comportamento online, Termos de pesquisa, Marcas preferidas, Gatilhos, Barreiras)
Coluna 2 = Respostas para cada ponto de dados na Coluna 1 com base no [PRODUTO] específico
Tabela 05: Anti-Avatar
Um resumo de uma pessoa que seja o oposto da persona do usuário descrita revelando as características daqueles que você não quer que sejam a persona do usuário em até 240 caracteres.
Certifique-se de que sua resposta esteja estruturada em 5 tabelas separadas e tenha uma linha separada para cada ponto de dados. Não forneça marcadores."
"📩 E-mail Marketing","Você pode criar uma campanha de email marketing para ➡️Descreva seu nicho e produtos/serviços⬅️ usando a estratégia AIDA? Seu trabalho é fingir ser um estrategista de marketing com mais de 10 anos de experiência no setor e um especialista em técnicas de comunicação persuasiva. A estratégia AIDA significa Atenção, Interesse, Desejo e Ação. Sua tarefa é criar vários e-mails para cada etapa da estratégia. Na primeira coluna de uma tabela, liste o estágio AIDA para cada e-mail que você criar. Na segunda coluna, escreva a linha de assunto de cada e-mail. A linha de assunto deve atrair a atenção do leitor e induzi-lo a abrir o e-mail. Na terceira coluna, escreva o corpo do e-mail. O corpo deve ser informativo e envolvente e deve seguir a estratégia AIDA para o estágio em que se encontra. Na quarta coluna, escreva a frase de chamariz para cada e-mail. A chamada à ação deve ser clara, específica e incentivar o leitor a realizar a ação desejada. Depois de receber o nome do serviço ou produto, incluindo seus benefícios, prossiga com a criação do plano de estratégia de email marketing com base nesse produto ou serviço. Certifique-se de colocar este plano em uma mesa bem organizada com uma mesa."
"📩 E-mail Marketing - Aviso de atraso na entrega","Escrever um e-mail informando um cliente sobre um atraso no envio da sua compra. Incluir detalhes sobre a causa do atraso e a nova data de entrega estimada. Certifique-se de incluir uma chamada clara à ação para que o cliente saiba como pode obter mais informações ou resolver quaisquer questões relacionadas com o atraso. Incluir espaços em branco para personalização no e-mail."
"📅 Cronograma de conteúdo","Gere um Cronograma de conteúdo com a seguinte estrutura:

[Tipo de Conteúdo]
[Canal]: Tiktok, Youtube, Facebook, Instagram
[Horário]: Sugerir os melhores horários de engajamento.

Formate tudo em uma tabela.

Cada tabela deve conter [Tipo de Conteúdo], [Canal] e [Horário] o título da publicação, uma breve descrição.

Classifique palavras-chave de cauda longa específicas para minha palavra-chave. Gere títulos no estilo clickbait para essas postagens.Inclua as melhores hashtags para a palavra-chave. A palavra-chave que estou segmentando é: ➡️Bitcoin⬅️."
"📅 Calendario Social Mídia","Gostaria que você me ajudasse a criar um calendário de conteúdo valioso para minha conta do Instagram que respondesse às perguntas mais frequentes e aos tópicos mais interessantes sobre minha palavra-chave que é ➡️seu tópico de conteúdo⬅️. Selecione títulos no estilo clickbait para essas postagens. Organize o título de cada postagem do Instagram em uma tabela para que pareça um calendário. Cada tabela deve conter os dias de segunda a sexta, o título da publicação, uma breve descrição, o formato (reels, carrossel, imagem). Separe cada placa em quatro
semanas."
"📅 Calendario Social Mídia - 2","Gere uma programação de conteúdo para o Instagram, classifique palavras-chave de cauda longa específicas para minha palavra-chave. Gere títulos no estilo clickbait para essas postagens. Separe por semanas. A palavra-chave que estou segmentando é: ➡️Adicione sua palavra-chave⬅️."
"📰 Post para Blog","Crie um resumo de conteúdo detalhado para ➡️Adicione sua palavra-chave⬅️ em português. Inclua palavras-chave de nível superior, palavras-chave de cauda longa, um esboço de cabeçalho e notas para o tópico. Em seguida, escreva tags de título e meta descrições sugeridas, mantendo-as dentro dos respectivos limites de caracteres de 70 e 160. Depois disso, escreva algum texto abaixo de cada subcabeçalho. Em seguida, expanda cada um dos marcadores numerados com uma explicação curta e precisa de como executar/implementar cada etapa. Coloque todo esse conteúdo em um blog post estruturado em português."
"🎯 Facebook Ads","Quero que você atue como especialista em inbound marketing e copywriter.
Eu quero que você escreva 15 cópys longas e diferentes de conformidade com anúncios do Facebook usando emoção e desejos humanos, dando a cada um delas uma curiosidade e convertendo o título.
Fornecerei a você o ➡️Nome do produto⬅️ e o ➡️Avatar do cliente⬅️ para o produto.
Ao escrever essas 15 longas cópias de conformidade de anúncios do Facebook, dois fatores são cruciais, perplexidade e estouro. A perplexidade mede a complexidade do texto. Separadamente, o burstiness compara as variações das sentenças. Os seres humanos tendem a escrever com maior rajada, por exemplo, com algumas frases mais longas ou complexas ao lado de outras mais curtas. As sentenças de IA tendem a ser mais uniformes. Portanto, ao escrever essas 15 cópias longas de conformidade com anúncios do Facebook, preciso que tenha uma boa quantidade de perplexidade e estouro."
"🎯 Facebook Ads","Escreva uma copy do anúncio para uma campanha publicitária no Facebook para uma ➡️empresa/marca⬅️ que segmente uma [persona do cliente] específica e os convença a realizar uma [ação específica]. Use linguagem forte e descritiva, frases de chamariz atraentes e mensagens com foco nos benefícios] para destacar o texto do anúncio no feed de notícias e persuadir o leitor. Considere os [pontos problemáticos e desejos do cliente] e a [proposta de valor exclusiva da empresa] ao elaborar a copy do anúncio e certifique-se de [testar e otimizar a copy do anúncio] para garantir a máxima eficácia."
"🎯 Google Ads","Você pode me fazer um total de três listas com títulos no tópico? Pretendo usar esses títulos para o Google Ads. Gere essas listas na forma de tabelas. Cada tabela deve ter uma coluna. O respectivo cabeçalho é exibido na coluna. A primeira lista é criar 30 cabeçalhos com o tema ➡️seu tema aqui⬅️, cada um com 20 a 30 caracteres, incluindo espaços? Pretendo usar esses títulos para o Google Ads. Também imprima esta lista na forma de uma tabela. O título da coluna deve ser Títulos (máx. 30 caracteres). O cabeçalho da coluna deve ser traduzido para português. Você pode me fornecer outra lista de 30 manchetes nítidas com o tema ➡️seu tema aqui⬅️, cada uma com 30 a 60 caracteres, incluindo espaços? Pretendo usar esses títulos para o Google Ads. Também imprima esta lista na forma de uma tabela. A tabela deve ter uma coluna. O respectivo cabeçalho ou manchete é exibido na coluna. O título da coluna deve ser Títulos longos e descrições (máx. 60 caracteres). Você poderia me fornecer uma lista de 30 cabeçalhos nítidos relacionados ao ➡️Adicione sua palavra-chave⬅️, cada um com um mínimo de 70 e um máximo de 90 caracteres, incluindo espaços? Pretendo usar esses títulos para o Google Ads. Também imprima esta lista na forma de uma tabela. A tabela deve ter uma coluna. O respectivo cabeçalho ou manchete é exibido na coluna. O título da coluna deve ser Títulos longos e descrições (máx. 60 caracteres). Não use o termo mencionado ➡️Adicione sua palavra-chave⬅️ com muita frequência."
"📈 Google Ads RSA","Crie dois anúncios do Google em um formato RSA (usando vários títulos e descrições) para um teste A/B para ➡️Descreva seu nicho e produtos/serviços⬅️. Explique por que os anúncios seriam um bom teste”."
"📊 Especialista em Marketing","Quero que você faça conversas incríveis no chatgpt com o usuário que está respondendo. Quero que você escreva respostas que criem uma interação interessante, sofisticada e perspicaz com o ChatGPT sobre um determinado tópico, sobre um determinado conhecimento. Eu quero que você seja um especialista em certas coisas e como explicar e discutir teorias, métodos, tópicos, conhecimentos, habilidades ou qualquer outra coisa que possa precisar de ajuda. Você pode agir como qualquer coisa, máquina ou o que mais. Você pode simular um terminal e console ou ser um parceiro de conversa perspicaz. Você responderá em português e criará uma conversa para o seguinte prompt: marketing. comece agindo como você deve agir de acordo com o prompt que você gerar, seja o especialista, seja a máquina, seja o que for. Não escreva o prompt que você gerou, apenas comece a agir."
"🔍 Palavras-chave para SEO","Crie uma estratégia de palavras-chave e um plano de conteúdo de SEO a partir de ➡️Adicione sua palavra-chave⬅️"
"🔍 Meta Descrição","Gere uma meta descrição com no máximo 160 caracteres e contenha esta palavra-chave ➡️palavra-chave⬅️ usando as seguintes informações: ➡️resumo da página da web⬅️"
"🌐 Tradutor","Traduza o seguinte texto de ➡️idioma⬅️ para ➡️idioma⬅️: ➡️texto⬅️. Use um dicionário ou software de tradução para garantir que a tradução seja precisa e fiel ao texto original. Evite usar traduções literais e procure transmitir o mesmo significado e tom do texto original."
"🕹️ Gerador de Jogos","Você é um criador de jogos especializado. Você sabe como criar jogos divertidos e envolventes que as crianças vão adorar jogar. Quero que você tenha 1 ideia de jogo que crianças e adultos possam jogar juntos. Considere jogos competitivos, jogos colaborativos, jogos de imaginação e jogos baseados em habilidade."
"🥗 Nutricionista","Atuando como nutricionista, gostaria de criar uma ➡️subistituir o texto de exemplo: receita vegetariana de 300 calorias e zero lactose para duas pessoas⬅️. Você pode sugerir uma?"
"🗺️ Guia turítico","Aja como um guia de viagem sugerindo um ➡️local turístico, por exemplo, 'museus'⬅️ para visitar perto de ➡️local⬅️, bem como outro ➡️local turístico, por exemplo, 'museus'⬅️ próximo ao primeiro local."
"💪 Personal Trainer","Eu quero que você atue como um personal trainer. Fornecerei a você todas as informações necessárias sobre um indivíduo que busca se tornar mais apto, mais forte e mais saudável por meio do treinamento físico, e seu papel é elaborar o melhor plano para essa pessoa, dependendo de seu nível atual de condicionamento físico, objetivos e hábitos de vida. Você deve usar seu conhecimento da ciência do exercício, aconselhamento nutricional e outros fatores relevantes para criar um plano adequado para eles. Meu primeiro pedido é ➡️seu objetivo - Perda de peso, ganho muscular etc.⬅️"
"🏋️‍♂️ Personal Trainer v2","Você pode gerar uma lista de exercícios para manter a forma em casa? Quero que você seja criativo e ofereça exercícios que possam ser feitos em um espaço limitado. Além disso, seria ótimo se você pudesse incluir opções para diferentes níveis de condicionamento físico. Estou ansioso para ver o que você pode criar!"
"🚀 Criação Startup","Poderia gerar uma lista de ideias de negócios inovadoras para uma startup? Gostaria que a lista incluísse ideias que possam ser implementadas em qualquer lugar do mundo, e que possam trazer soluções para problemas comuns. Além disso, gostaria que as ideias fossem criativas e desafiadoras. Seria possível? Fico no aguardo das suas sugestões!"
"🧠 Saúde Mental","Gostaria que você criasse uma lista de sugestões para melhorar a saúde mental e o bem-estar. Quero que as sugestões sejam práticas e acessíveis, e que cubram uma ampla variedade de atividades e práticas."
"🎭 Poema","Estou interessado em ver sua habilidade criativa na criação de um poema sobre a beleza do universo. Quero que o poema seja inspirador e poético, e que capture a maravilha e a grandiosidade do cosmos."
"🎲 Trivia Quiz","Quero que você aja como um especialista em ➡️Geográfia⬅️, que fala e escreve fluentemente o português. Por favor, escreva 5 perguntas para um Trivia Quiz relacionado ao seguinte tópico e nível de dificuldade: ➡️Geográfia, nível moderado⬅️.
Na parte inferior, forneça respostas às perguntas em uma lista separada."
"🎲 Trivia História Mundial","Gostaria que você criasse um jogo de trivia sobre história mundial. Quero que o jogo seja desafiador e informativo, e que cubra uma variedade de temas e períodos históricos."
"🎥 Roteiro de filme","Estou interessado em ver sua habilidade criativa na criação de um roteiro para um curta-metragem de suspense. Quero que o roteiro seja intrigante e emocionante, e que mantenha o espectador na ponta da cadeira."
"🗣️ Storyteller","Eu quero que você aja como um contador de histórias. Você criará histórias divertidas que são envolventes, imaginativas e cativantes para o público. Podem ser contos de fadas, histórias educativas ou qualquer outro tipo de história que tenha o potencial de captar a atenção e a imaginação das pessoas. Dependendo do público-alvo, você pode escolher temas ou tópicos específicos para sua sessão de contação de histórias, por exemplo, se forem crianças, você pode falar sobre animais; Se forem adultos, os contos baseados na história podem envolvê-los melhor, etc. Meu primeiro pedido é ➡️Preciso de uma história interessante sobre perseverança⬅️."
"😂 Stand-up","Eu quero que você aja como um comediante de stand-up. Fornecerei alguns tópicos relacionados aos eventos atuais e você usará sua inteligência, criatividade e habilidades de observação para criar uma rotina baseada nesses tópicos. Você também deve incorporar anedotas ou experiências pessoais à rotina para torná-la mais identificável e envolvente para o público. Meu primeiro pedido é ➡️Quero uma abordagem bem-humorada da política⬅️."
"👨‍🍳 Chef","Preciso de alguém que possa sugerir receitas deliciosas que incluam alimentos nutricionalmente benéficos, mas também fáceis e não demorados o suficiente, portanto, adequados para pessoas ocupadas como nós, entre outros fatores, como custo-benefício, para que o prato geral acabe sendo saudável e econômico ao mesmo tempo! Meu primeiro pedido – ➡️Algo leve, mas gratificante, que pode ser preparado rapidamente durante o intervalo do almoço⬅️"
"🤖 Gerador ASCII","Eu quero que você aja como um artista ascii. Escreverei os objetos para você e pedirei que escreva esse objeto como código ascii no bloco de código. Escreva apenas código ascii. Não explique sobre o objeto que você escreveu. Direi os objetos entre aspas duplas. Meu primeiro objeto é ➡️gato⬅️"
"💬 Gerador de Prompt","Quero que você atue como um gerador de prompt do ChatGPT, enviarei um tópico, você deve gerar um prompt do ChatGPT com base no conteúdo do tópico, o prompt deve começar com ➡️ Quero que você atue como ⬅️, e adivinhe pode fazer e expanda o prompt adequadamente Descreva o conteúdo para torná-lo útil."
